"","Week","Day","Suffolk","MA","US"
"1",1,"1/1/2020",".",".","."
"2",1,"1/2/2020",".",".","."
"3",1,"1/3/2020",".",".","."
"4",1,"1/4/2020",".",".","."
"5",1,"1/5/2020",".",".","."
"6",2,"1/6/2020",".",".","."
"7",2,"1/7/2020",".",".","."
"8",2,"1/8/2020",".",".","."
"9",2,"1/9/2020",".",".","."
"10",2,"1/10/2020",".",".","."
"11",2,"1/11/2020",".",".","."
"12",2,"1/12/2020",".",".","."
"13",3,"1/13/2020",".0057",".0742",".0425"
"14",3,"1/14/2020",".00906",".147",".102"
"15",3,"1/15/2020",".0933",".101",".0643"
"16",3,"1/16/2020",".0344",".0267","-.0164"
"17",3,"1/17/2020",".0333",".00497","-.0213"
"18",3,"1/18/2020","-.00208",".00279","-.01"
"19",3,"1/19/2020",".0259",".00614",".00712"
"20",4,"1/20/2020",".0117","-.00252","-.0296"
"21",4,"1/21/2020","-.0168","-.0404","-.0454"
"22",4,"1/22/2020","-.00205","-.0397","-.0293"
"23",4,"1/23/2020",".0395",".00751",".032"
"24",4,"1/24/2020",".0312",".0219",".0348"
"25",4,"1/25/2020",".0494",".0111",".0247"
"26",4,"1/26/2020",".0155",".00939",".00288"
"27",5,"1/27/2020","-.0206","-.045","-.00343"
"28",5,"1/28/2020","-.0697","-.0579","-.0219"
"29",5,"1/29/2020","-.0383","-.0508","-.023"
"30",5,"1/30/2020","-.0186","-.0382","-.0103"
"31",5,"1/31/2020","-.0177","-.0264","-.00227"
"32",5,"2/1/2020","-.0363","-.0121",".0000746"
"33",5,"2/2/2020","-.0413","-.0136","-.00793"
"34",6,"2/3/2020","-.0382","-.000531",".000141"
"35",6,"2/4/2020","-.0122",".00882",".00415"
"36",6,"2/5/2020","-.0409",".00742",".00623"
"37",6,"2/6/2020","-.061","-.00385","-.00296"
"38",6,"2/7/2020","-.0634","-.00678","-.00452"
"39",6,"2/8/2020","-.0515","-.00335","-.000459"
"40",6,"2/9/2020","-.0175",".0129",".0108"
"41",7,"2/10/2020","-.0364","-.00759",".00227"
"42",7,"2/11/2020","-.0675","-.0201","-.000416"
"43",7,"2/12/2020","-.071","-.0159",".00436"
"44",7,"2/13/2020","-.0344","-.000189",".00629"
"45",7,"2/14/2020","-.0269",".00117",".00556"
"46",7,"2/15/2020","-.0882","-.00633","-.00166"
"47",7,"2/16/2020","-.0982","-.0115","-.00246"
"48",8,"2/17/2020","-.0826",".0148","-.00755"
"49",8,"2/18/2020","-.069",".0131","-.00779"
"50",8,"2/19/2020","-.0609","-.00912","-.0132"
"51",8,"2/20/2020","-.0744","-.0133","-.0125"
"52",8,"2/21/2020","-.0801","-.0105","-.017"
"53",8,"2/22/2020","-.0287",".000332","-.0176"
"54",8,"2/23/2020","-.0171",".00883","-.0173"
"55",9,"2/24/2020","-.00705",".026","-.0154"
"56",9,"2/25/2020",".0138",".0288","-.022"
"57",9,"2/26/2020","-.0105",".0284","-.0194"
"58",9,"2/27/2020","-.0295",".0237","-.0245"
"59",9,"2/28/2020","-.0217",".0212","-.0339"
"60",9,"2/29/2020","-.0221",".0295","-.0129"
"61",9,"3/1/2020","-.0674","-.0039","-.0286"
"62",10,"3/2/2020","-.031",".0162","-.0156"
"63",10,"3/3/2020","-.0475",".0101","-.00693"
"64",10,"3/4/2020","-.027",".0228","-.0108"
"65",10,"3/5/2020","-.00938",".0262","-.0128"
"66",10,"3/6/2020","-.0125",".0204","-.0129"
"67",10,"3/7/2020","-.0179",".0125","-.00354"
"68",10,"3/8/2020","-.000309",".0382",".0113"
"69",11,"3/9/2020","-.0284",".00989","-.00104"
"70",11,"3/10/2020","-.0222",".0197","-.0127"
"71",11,"3/11/2020","-.0712","-.00187","-.0152"
"72",11,"3/12/2020","-.0534",".0202","-.00551"
"73",11,"3/13/2020","-.0705",".0349",".00631"
"74",11,"3/14/2020","-.0711",".0247","-.000282"
"75",11,"3/15/2020","-.0856","-.00287","-.016"
"76",12,"3/16/2020","-.0797",".000869","-.00657"
"77",12,"3/17/2020","-.103","-.0251","-.0125"
"78",12,"3/18/2020","-.114","-.0509","-.0282"
"79",12,"3/19/2020","-.164","-.0963","-.0583"
"80",12,"3/20/2020","-.168","-.126","-.0977"
"81",12,"3/21/2020","-.232","-.164","-.134"
"82",12,"3/22/2020","-.257","-.18","-.157"
"83",13,"3/23/2020","-.291","-.209","-.201"
"84",13,"3/24/2020","-.323","-.244","-.231"
"85",13,"3/25/2020","-.352","-.272","-.253"
"86",13,"3/26/2020","-.378","-.302","-.273"
"87",13,"3/27/2020","-.432","-.35","-.297"
"88",13,"3/28/2020","-.489","-.368","-.313"
"89",13,"3/29/2020","-.502","-.38","-.323"
"90",14,"3/30/2020","-.524","-.395","-.326"
"91",14,"3/31/2020","-.528","-.382","-.32"
"92",14,"4/1/2020","-.513","-.37","-.313"
"93",14,"4/2/2020","-.51","-.359","-.308"
"94",14,"4/3/2020","-.475","-.345","-.3"
"95",14,"4/4/2020","-.451","-.334","-.295"
"96",14,"4/5/2020","-.442","-.327","-.288"
"97",15,"4/6/2020","-.418","-.319","-.284"
"98",15,"4/7/2020","-.412","-.316","-.287"
"99",15,"4/8/2020","-.411","-.305","-.292"
"100",15,"4/9/2020","-.41","-.3","-.294"
"101",15,"4/10/2020","-.401","-.288","-.296"
"102",15,"4/11/2020","-.411","-.279","-.294"
"103",15,"4/12/2020","-.433","-.305","-.315"
"104",16,"4/13/2020","-.442","-.314","-.316"
"105",16,"4/14/2020","-.433","-.306","-.306"
"106",16,"4/15/2020","-.409","-.295","-.289"
"107",16,"4/16/2020","-.395","-.285","-.275"
"108",16,"4/17/2020","-.399","-.284","-.263"
"109",16,"4/18/2020","-.398","-.296","-.255"
"110",16,"4/19/2020","-.353","-.268","-.224"
"111",17,"4/20/2020","-.343","-.267","-.219"
"112",17,"4/21/2020","-.319","-.23","-.196"
"113",17,"4/22/2020","-.343","-.231","-.203"
"114",17,"4/23/2020","-.345","-.233","-.211"
"115",17,"4/24/2020","-.382","-.239","-.217"
"116",17,"4/25/2020","-.384","-.225","-.219"
"117",17,"4/26/2020","-.409","-.22","-.224"
"118",18,"4/27/2020","-.41","-.205","-.216"
"119",18,"4/28/2020","-.416","-.233","-.233"
"120",18,"4/29/2020","-.423","-.227","-.222"
"121",18,"4/30/2020","-.424","-.216","-.21"
"122",18,"5/1/2020","-.382","-.201","-.197"
"123",18,"5/2/2020","-.355","-.19","-.189"
"124",18,"5/3/2020","-.35","-.188","-.182"
"125",19,"5/4/2020","-.339","-.17","-.171"
"126",19,"5/5/2020","-.333","-.168","-.164"
"127",19,"5/6/2020","-.33","-.162","-.163"
"128",19,"5/7/2020","-.322","-.163","-.159"
"129",19,"5/8/2020","-.34","-.159","-.157"
"130",19,"5/9/2020","-.351","-.156","-.148"
"131",19,"5/10/2020","-.355","-.155","-.153"
"132",20,"5/11/2020","-.362","-.177","-.167"
"133",20,"5/12/2020","-.387","-.175","-.171"
"134",20,"5/13/2020","-.368","-.171","-.166"
"135",20,"5/14/2020","-.372","-.17","-.165"
"136",20,"5/15/2020","-.368","-.165","-.163"
"137",20,"5/16/2020","-.349","-.158","-.164"
"138",20,"5/17/2020","-.335","-.144","-.154"
"139",21,"5/18/2020","-.333","-.117","-.14"
"140",21,"5/19/2020","-.315","-.114","-.136"
"141",21,"5/20/2020","-.303","-.102","-.133"
"142",21,"5/21/2020","-.287","-.0916","-.129"
"143",21,"5/22/2020","-.251","-.0777","-.122"
"144",21,"5/23/2020","-.295","-.0891","-.124"
"145",21,"5/24/2020","-.298","-.0986","-.127"
"146",22,"5/25/2020","-.302","-.114","-.134"
"147",22,"5/26/2020","-.278","-.111","-.134"
"148",22,"5/27/2020","-.281","-.0972","-.101"
"149",22,"5/28/2020","-.299","-.121","-.138"
"150",22,"5/29/2020","-.317","-.133","-.142"
"151",22,"5/30/2020","-.266","-.127","-.143"
"152",22,"5/31/2020","-.273","-.124","-.147"
"153",23,"6/1/2020","-.251","-.111","-.129"
"154",23,"6/2/2020","-.254","-.104","-.118"
"155",23,"6/3/2020","-.244","-.115","-.121"
"156",23,"6/4/2020","-.251","-.119","-.118"
"157",23,"6/5/2020","-.23","-.116","-.111"
"158",23,"6/6/2020","-.24","-.115","-.103"
"159",23,"6/7/2020","-.223","-.11","-.0897"
"160",24,"6/8/2020","-.227","-.109","-.093"
"161",24,"6/9/2020","-.236","-.109","-.0994"
"162",24,"6/10/2020","-.236","-.0977","-.0933"
"163",24,"6/11/2020","-.198","-.0856","-.0913"
"164",24,"6/12/2020","-.214","-.0855","-.0917"
"165",24,"6/13/2020","-.214","-.0785","-.0929"
"166",24,"6/14/2020","-.225","-.077","-.0985"
"167",25,"6/15/2020","-.232","-.076","-.099"
"168",25,"6/16/2020","-.21","-.0648","-.0868"
"169",25,"6/17/2020","-.211","-.0605","-.0803"
"170",25,"6/18/2020","-.216","-.0515","-.0723"
"171",25,"6/19/2020","-.21","-.0296","-.0643"
"172",25,"6/20/2020","-.212","-.0196","-.0556"
"173",25,"6/21/2020","-.201","-.0149","-.0504"
"174",26,"6/22/2020","-.179","-.00776","-.05"
"175",26,"6/23/2020","-.188","-.00829","-.0598"
"176",26,"6/24/2020","-.154","-.00227","-.0679"
"177",26,"6/25/2020","-.153","-.0217","-.0809"
"178",26,"6/26/2020","-.105","-.0351","-.0914"
"179",26,"6/27/2020","-.0591","-.0459","-.101"
"180",26,"6/28/2020","-.0521","-.0548","-.107"
"181",27,"6/29/2020","-.0629","-.0555","-.104"
"182",27,"6/30/2020","-.0541","-.048","-.0907"
"183",27,"7/1/2020","-.106","-.0576","-.0826"
"184",27,"7/2/2020","-.106","-.0372","-.0683"
"185",27,"7/3/2020","-.142","-.0517","-.0791"
"186",27,"7/4/2020","-.136","-.0242","-.0504"
"187",27,"7/5/2020","-.112","-.0124","-.049"
"188",28,"7/6/2020","-.0998","-.00479","-.0458"
"189",28,"7/7/2020","-.0886","-.0106","-.0517"
"190",28,"7/8/2020","-.0501","-.0109","-.0577"
"191",28,"7/9/2020","-.0337","-.0214","-.0655"
"192",28,"7/10/2020","-.063","-.0238","-.0662"
"193",28,"7/11/2020","-.0542","-.0198","-.0672"
"194",28,"7/12/2020","-.0417","-.0154","-.0618"
"195",29,"7/13/2020","-.047","-.0303","-.068"
"196",29,"7/14/2020","-.0556","-.0277","-.0674"
"197",29,"7/15/2020","-.0441","-.0128","-.0594"
"198",29,"7/16/2020","-.0505","-.0148","-.0576"
"199",29,"7/17/2020","-.0516","-.00526","-.0576"
"200",29,"7/18/2020","-.0723","-.0108","-.0613"
"201",29,"7/19/2020","-.0687","-.0129","-.0625"
"202",30,"7/20/2020","-.0756","-.00795","-.0633"
"203",30,"7/21/2020","-.0649","-.00982","-.0672"
"204",30,"7/22/2020","-.0852","-.0104","-.0718"
"205",30,"7/23/2020","-.0961",".000513","-.0701"
"206",30,"7/24/2020","-.0717",".00558","-.0626"
"207",30,"7/25/2020","-.0702",".0124","-.0586"
"208",30,"7/26/2020","-.0743",".024","-.056"
"209",31,"7/27/2020","-.0641",".0228","-.0583"
"210",31,"7/28/2020","-.075",".021","-.0604"
"211",31,"7/29/2020","-.0633",".0187","-.06"
"212",31,"7/30/2020","-.0619",".0163","-.0648"
"213",31,"7/31/2020","-.0652",".00762","-.0654"
"214",31,"8/1/2020","-.0709","-.00647","-.0704"
"215",31,"8/2/2020","-.0549","-.0152","-.0774"
"216",32,"8/3/2020","-.0346","-.00736","-.0681"
"217",32,"8/4/2020","-.0381","-.00496","-.0633"
"218",32,"8/5/2020","-.0499","-.00895","-.063"
"219",32,"8/6/2020","-.0371","-.00357","-.0569"
"220",32,"8/7/2020","-.0378","-.00142","-.0559"
"221",32,"8/8/2020","-.0306",".0117","-.0462"
"222",32,"8/9/2020","-.0375",".0172","-.0345"
"223",33,"8/10/2020","-.0761",".0104","-.0381"
"224",33,"8/11/2020","-.0717",".00634","-.0368"
"225",33,"8/12/2020","-.0484",".00825","-.0331"
"226",33,"8/13/2020","-.0636","-.00245","-.0336"
"227",33,"8/14/2020","-.0929","-.0142","-.034"
"228",33,"8/15/2020","-.102","-.0308","-.0374"
"229",33,"8/16/2020","-.111","-.0321","-.0403"
"230",34,"8/17/2020","-.115","-.0463","-.0432"
"231",34,"8/18/2020","-.119","-.052","-.0479"
"232",34,"8/19/2020","-.125","-.048","-.0489"
"233",34,"8/20/2020","-.112","-.0376","-.0478"
"234",34,"8/21/2020","-.0853","-.0209","-.045"
"235",34,"8/22/2020","-.0782","-.00307","-.0383"
"236",34,"8/23/2020","-.068",".00259","-.035"
"237",35,"8/24/2020","-.0511",".0212","-.0294"
"238",35,"8/25/2020","-.0224",".032","-.0203"
"239",35,"8/26/2020","-.033",".0311","-.0141"
"240",35,"8/27/2020","-.0426",".0228","-.0131"
"241",35,"8/28/2020","-.047",".00985","-.0179"
"242",35,"8/29/2020","-.0231",".0405","-.0247"
"243",35,"8/30/2020","-.00631",".0481","-.0353"
"244",36,"8/31/2020","-.00388",".0404","-.0451"
"245",36,"9/1/2020","-.0183",".0444","-.0476"
"246",36,"9/2/2020","-.0164",".0599","-.0195"
"247",36,"9/3/2020","-.0125",".0512","-.0417"
"248",36,"9/4/2020","-.00525",".0604","-.0372"
"249",36,"9/5/2020","-.0221",".0265","-.0321"
"250",36,"9/6/2020","-.0313",".0162","-.0202"
"251",37,"9/7/2020","-.0473",".0132","-.0402"
"252",37,"9/8/2020","-.0757","-.013","-.0191"
"253",37,"9/9/2020","-.0703","-.0259","-.0337"
"254",37,"9/10/2020","-.0747","-.0297","-.0333"
"255",37,"9/11/2020","-.0718","-.036","-.0405"
"256",37,"9/12/2020","-.0593","-.0309","-.0404"
"257",37,"9/13/2020","-.0773","-.0265","-.0463"
"258",38,"9/14/2020","-.0578","-.0193","-.0492"
"259",38,"9/15/2020","-.0552","-.0103","-.0471"
"260",38,"9/16/2020","-.0556","-.00526","-.0502"
"261",38,"9/17/2020","-.0473",".000255","-.0498"
"262",38,"9/18/2020","-.0483",".0103","-.0428"
"263",38,"9/19/2020","-.0313",".0284","-.0362"
"264",38,"9/20/2020","-.0169",".0305","-.0329"
"265",39,"9/21/2020","-.039",".0232","-.0327"
"266",39,"9/22/2020","-.0227",".0194","-.0374"
"267",39,"9/23/2020","-.0312",".0204","-.0369"
"268",39,"9/24/2020","-.0182",".0263","-.0339"
"269",39,"9/25/2020","-.0256",".0227","-.036"
"270",39,"9/26/2020","-.0311",".0216","-.0376"
"271",39,"9/27/2020","-.051",".0191","-.0353"
"272",40,"9/28/2020","-.0275",".0246","-.037"
"273",40,"9/29/2020","-.0422",".027","-.0376"
"274",40,"9/30/2020","-.0437",".0195","-.0314"
"275",40,"10/1/2020","-.0416",".00227","-.0329"
"276",40,"10/2/2020","-.0526","-.00363","-.0329"
"277",40,"10/3/2020","-.0539","-.0176","-.035"
"278",40,"10/4/2020","-.0386","-.0216","-.0364"
"279",41,"10/5/2020","-.0505","-.0289","-.0306"
"280",41,"10/6/2020","-.0642","-.0397","-.0275"
"281",41,"10/7/2020","-.0614","-.0456","-.0353"
"282",41,"10/8/2020","-.0713","-.0428","-.0351"
"283",41,"10/9/2020","-.03","-.0262","-.031"
"284",41,"10/10/2020","-.0558","-.0258","-.0312"
"285",41,"10/11/2020","-.0414","-.0123","-.0296"
"286",42,"10/12/2020","-.022","-.00349","-.0332"
"287",42,"10/13/2020",".00297","-.00104","-.0295"
"288",42,"10/14/2020",".000204",".0136","-.0122"
"289",42,"10/15/2020",".00373",".0142","-.0205"
"290",42,"10/16/2020","-.0173",".00148","-.0254"
"291",42,"10/17/2020","-.00239",".0204","-.0261"
"292",42,"10/18/2020","-.00316",".014","-.0269"
"293",43,"10/19/2020","-.0143",".0105","-.0338"
"294",43,"10/20/2020","-.0349",".00696","-.0345"
"295",43,"10/21/2020","-.0356",".00166","-.0403"
"296",43,"10/22/2020","-.0489",".00754","-.0377"
"297",43,"10/23/2020","-.0484",".0115","-.0345"
"298",43,"10/24/2020","-.0327",".00238","-.027"
"299",43,"10/25/2020","-.031",".00751","-.0234"
"300",44,"10/26/2020","-.0155",".0133","-.0246"
"301",44,"10/27/2020",".00855",".0287","-.0228"
"302",44,"10/28/2020",".00367",".0252","-.0193"
"303",44,"10/29/2020",".0114",".0201","-.0192"
"304",44,"10/30/2020",".00921",".0116","-.0148"
