"","Week","Day","Suffolk","MA","US"
"1",1,"12/31/2018",".",".","."
"2",1,"1/1/2020",".",".","."
"3",1,"1/2/2020",".",".","."
"4",1,"1/3/2020",".",".","."
"5",1,"1/4/2020",".",".","."
"6",1,"1/5/2020",".",".","."
"7",2,"1/6/2020",".",".","."
"8",2,"1/7/2020",".",".","."
"9",2,"1/8/2020",".",".","."
"10",2,"1/9/2020",".",".","."
"11",2,"1/10/2020",".",".","."
"12",2,"1/11/2020",".",".","."
"13",2,"1/12/2020",".",".","."
"14",3,"1/13/2020","-.00611",".00894","-.00349"
"15",3,"1/14/2020","-.000682",".0407",".0187"
"16",3,"1/15/2020",".0344",".0336",".0128"
"17",3,"1/16/2020",".00215","-.00656","-.038"
"18",3,"1/17/2020",".0105","-.014","-.0332"
"19",3,"1/18/2020","-.0158","-.00393","-.0127"
"20",3,"1/19/2020",".0264",".00827",".00747"
"21",4,"1/20/2020",".0504",".0538",".00741"
"22",4,"1/21/2020",".0272",".0323",".00489"
"23",4,"1/22/2020",".0374",".0267",".0165"
"24",4,"1/23/2020",".0738",".0669",".0694"
"25",4,"1/24/2020",".0599",".0664",".0587"
"26",4,"1/25/2020",".0696",".0329",".0331"
"27",4,"1/26/2020",".0223",".0105",".000903"
"28",5,"1/27/2020","-.0236","-.0598","-.0226"
"29",5,"1/28/2020","-.0667","-.0723","-.0401"
"30",5,"1/29/2020","-.0343","-.0627","-.0382"
"31",5,"1/30/2020","-.0144","-.0477","-.0231"
"32",5,"1/31/2020","-.0143","-.0335","-.0122"
"33",5,"2/1/2020","-.0327","-.0151","-.00534"
"34",5,"2/2/2020","-.0348","-.0125","-.00956"
"35",6,"2/3/2020","-.0283",".00513",".00388"
"36",6,"2/4/2020","-.00266",".0134",".00861"
"37",6,"2/5/2020","-.0323",".0115",".00979"
"38",6,"2/6/2020","-.0526","-.000709","-.0000131"
"39",6,"2/7/2020","-.0541","-.00361","-.00195"
"40",6,"2/8/2020","-.0424","-.000802","-.0000326"
"41",6,"2/9/2020","-.0109",".0136",".00891"
"42",7,"2/10/2020","-.0364","-.0116","-.00573"
"43",7,"2/11/2020","-.0675","-.0248","-.00973"
"44",7,"2/12/2020","-.0689","-.0198","-.00409"
"45",7,"2/13/2020","-.0322","-.00318","-.000775"
"46",7,"2/14/2020","-.0245","-.0016","-.000729"
"47",7,"2/15/2020","-.0806","-.00781","-.00561"
"48",7,"2/16/2020","-.0922","-.0108","-.00406"
"49",8,"2/17/2020","-.0699",".0251",".000557"
"50",8,"2/18/2020","-.0566",".0254",".00364"
"51",8,"2/19/2020","-.05","-.0000776","-.00401"
"52",8,"2/20/2020","-.0638","-.00596","-.00525"
"53",8,"2/21/2020","-.0693","-.00455","-.0116"
"54",8,"2/22/2020","-.0222",".00377","-.0158"
"55",8,"2/23/2020","-.0105",".00931","-.0186"
"56",9,"2/24/2020","-.00585",".0196","-.0248"
"57",9,"2/25/2020",".0159",".0225","-.0316"
"58",9,"2/26/2020","-.00654",".0243","-.0267"
"59",9,"2/27/2020","-.0243",".0215","-.0292"
