"","Week","Day","Suffolk","MA","US"
"1",1,"12/31/2018",".",".","."
"2",1,"1/1/2020",".",".","."
"3",1,"1/2/2020",".",".","."
"4",1,"1/3/2020",".",".","."
"5",1,"1/4/2020",".",".","."
"6",1,"1/5/2020",".",".","."
"7",2,"1/6/2020",".",".","."
"8",2,"1/7/2020",".",".","."
"9",2,"1/8/2020",".",".","."
"10",2,"1/9/2020",".",".","."
"11",2,"1/10/2020",".",".","."
"12",2,"1/11/2020",".",".","."
"13",2,"1/12/2020",".",".","."
"14",3,"1/13/2020",".0057",".0742",".0425"
"15",3,"1/14/2020",".00906",".147",".102"
"16",3,"1/15/2020",".0933",".101",".0643"
"17",3,"1/16/2020",".0344",".0267","-.0164"
"18",3,"1/17/2020",".0333",".00497","-.0213"
"19",3,"1/18/2020","-.00208",".00279","-.01"
"20",3,"1/19/2020",".0259",".00614",".00712"
"21",4,"1/20/2020",".0117","-.00252","-.0296"
"22",4,"1/21/2020","-.0168","-.0404","-.0454"
"23",4,"1/22/2020","-.00205","-.0397","-.0293"
"24",4,"1/23/2020",".0395",".00751",".032"
"25",4,"1/24/2020",".0312",".0219",".0347"
"26",4,"1/25/2020",".0494",".0111",".0247"
"27",4,"1/26/2020",".0155",".00939",".00287"
"28",5,"1/27/2020","-.0206","-.045","-.00344"
"29",5,"1/28/2020","-.0697","-.0579","-.0219"
"30",5,"1/29/2020","-.0383","-.0508","-.023"
"31",5,"1/30/2020","-.0186","-.0382","-.0103"
"32",5,"1/31/2020","-.0177","-.0264","-.00227"
"33",5,"2/1/2020","-.0363","-.0121",".0000811"
"34",5,"2/2/2020","-.0413","-.0136","-.00793"
"35",6,"2/3/2020","-.0382","-.000531",".00014"
"36",6,"2/4/2020","-.0122",".00882",".00414"
"37",6,"2/5/2020","-.0409",".00742",".00621"
"38",6,"2/6/2020","-.061","-.00385","-.00298"
"39",6,"2/7/2020","-.0634","-.00678","-.00453"
"40",6,"2/8/2020","-.0515","-.00335","-.000471"
"41",6,"2/9/2020","-.0175",".0129",".0108"
"42",7,"2/10/2020","-.0364","-.00759",".00227"
"43",7,"2/11/2020","-.0675","-.0201","-.000418"
"44",7,"2/12/2020","-.071","-.0159",".00435"
"45",7,"2/13/2020","-.0344","-.000189",".00627"
"46",7,"2/14/2020","-.0269",".00117",".00554"
"47",7,"2/15/2020","-.0882","-.00633","-.00167"
"48",7,"2/16/2020","-.0982","-.0115","-.00247"
"49",8,"2/17/2020","-.0826",".0148","-.00755"
"50",8,"2/18/2020","-.069",".0131","-.00779"
"51",8,"2/19/2020","-.0609","-.00912","-.0132"
"52",8,"2/20/2020","-.0744","-.0133","-.0125"
"53",8,"2/21/2020","-.0801","-.0105","-.017"
"54",8,"2/22/2020","-.0287",".000332","-.0176"
"55",8,"2/23/2020","-.0171",".00883","-.0173"
"56",9,"2/24/2020","-.00705",".026","-.0154"
"57",9,"2/25/2020",".0138",".0288","-.022"
"58",9,"2/26/2020","-.0105",".0284","-.0194"
"59",9,"2/27/2020","-.0295",".0237","-.0245"
