"","Week","Day","Suffolk","MA","US"
"1",1,"12/31/2018",".",".","."
"2",1,"1/1/2020",".",".","."
"3",1,"1/2/2020",".",".","."
"4",1,"1/3/2020",".",".","."
"5",1,"1/4/2020",".",".","."
"6",1,"1/5/2020",".",".","."
"7",2,"1/6/2020",".",".","."
"8",2,"1/7/2020",".",".","."
"9",2,"1/8/2020",".",".","."
"10",2,"1/9/2020",".",".","."
"11",2,"1/10/2020",".",".","."
"12",2,"1/11/2020",".",".","."
"13",2,"1/12/2020",".",".","."
"14",3,"1/13/2020","-.00611",".0108","-.00343"
"15",3,"1/14/2020","-.000682",".0435",".0188"
"16",3,"1/15/2020",".0344",".0338",".0129"
"17",3,"1/16/2020",".00215","-.00693","-.038"
"18",3,"1/17/2020",".0105","-.0103","-.0332"
"19",3,"1/18/2020","-.0158",".00159","-.0126"
"20",3,"1/19/2020",".0264",".0108",".00748"
"21",4,"1/20/2020",".0504",".055",".00745"
"22",4,"1/21/2020",".0272",".0328",".00487"
"23",4,"1/22/2020",".0374",".0276",".0164"
"24",4,"1/23/2020",".0738",".0646",".0693"
"25",4,"1/24/2020",".0599",".0621",".0586"
"26",4,"1/25/2020",".0696",".0297",".0331"
"27",4,"1/26/2020",".0223",".00807",".000883"
"28",5,"1/27/2020","-.0236","-.0605","-.0226"
"29",5,"1/28/2020","-.0667","-.0735","-.0401"
"30",5,"1/29/2020","-.0343","-.0639","-.0382"
"31",5,"1/30/2020","-.0144","-.0473","-.023"
"32",5,"1/31/2020","-.0143","-.0329","-.0122"
"33",5,"2/1/2020","-.0327","-.0163","-.00538"
"34",5,"2/2/2020","-.0348","-.0138","-.0096"
"35",6,"2/3/2020","-.0283",".00329",".00384"
"36",6,"2/4/2020","-.00266",".014",".0086"
"37",6,"2/5/2020","-.0323",".0145",".00979"
"38",6,"2/6/2020","-.0526","-.000165","-.0000841"
"39",6,"2/7/2020","-.0541","-.0036","-.00206"
"40",6,"2/8/2020","-.0424","-.000739","-.0000806"
"41",6,"2/9/2020","-.0109",".0128",".00889"
"42",7,"2/10/2020","-.0364","-.0126","-.00574"
"43",7,"2/11/2020","-.0675","-.0262","-.00974"
"44",7,"2/12/2020","-.0689","-.019","-.00408"
"45",7,"2/13/2020","-.0322",".000262","-.000735"
"46",7,"2/14/2020","-.0245",".00312","-.000724"
"47",7,"2/15/2020","-.0806","-.003","-.00564"
"48",7,"2/16/2020","-.0922","-.0051","-.0041"
"49",8,"2/17/2020","-.0699",".0304",".000526"
"50",8,"2/18/2020","-.0566",".0291",".00357"
"51",8,"2/19/2020","-.05",".000175","-.00408"
"52",8,"2/20/2020","-.0638","-.00507","-.00531"
"53",8,"2/21/2020","-.0693","-.00523","-.0116"
"54",8,"2/22/2020","-.0222",".00205","-.0158"
"55",8,"2/23/2020","-.0105",".00532","-.0185"
"56",9,"2/24/2020","-.00585",".0157","-.0247"
"57",9,"2/25/2020",".0159",".0189","-.0315"
"58",9,"2/26/2020","-.00654",".0185","-.0267"
"59",9,"2/27/2020","-.0243",".015","-.0291"
